#depth variance  VR       nsta
 25  1.061e-09  2.126e+00   4
#mxx        mxy        mxz        myy        myz        mzz
 3.136e+22  3.435e+22  2.424e+22  2.111e+23 -6.499e+22  2.034e+23
#st1 rk1 dp1 st2 rk2 dp2
 43  42  71 297 155  51
#pdc pclvd piso
 41   5  54

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  180 206.0 123.0   68  1.406e+00
#data T          R          Z    synth T          R          Z
 1.086e-05 -5.426e-06  2.255e-06  5.251e-06 -6.934e-07 -9.879e-07
 5.503e-06 -2.248e-06  4.401e-06  6.659e-06 -2.222e-07 -1.458e-06
-2.753e-06  1.267e-06  3.409e-06  8.031e-06  1.456e-07 -1.777e-06
-8.304e-06  6.209e-06 -7.880e-07  9.186e-06  4.022e-07 -2.069e-06
-6.284e-06  1.264e-05 -6.333e-06  9.885e-06  6.315e-07 -2.278e-06
 2.890e-06  1.906e-05 -1.088e-05  9.878e-06  8.248e-07 -2.401e-06
 1.355e-05  2.232e-05 -1.277e-05  8.969e-06  1.051e-06 -2.458e-06
 1.910e-05  1.961e-05 -1.157e-05  7.095e-06  1.296e-06 -2.376e-06
 1.680e-05  1.204e-05 -8.449e-06  4.369e-06  1.497e-06 -2.248e-06
 8.888e-06  4.939e-06 -5.852e-06  1.076e-06  1.652e-06 -2.139e-06
-6.798e-07  2.901e-06 -6.419e-06 -2.412e-06  1.703e-06 -2.075e-06
-8.578e-06  5.749e-06 -1.109e-05 -5.730e-06  1.625e-06 -2.091e-06
-1.236e-05  8.637e-06 -1.737e-05 -8.571e-06  1.426e-06 -2.102e-06
-1.082e-05  6.190e-06 -2.014e-05 -1.071e-05  1.147e-06 -2.020e-06
-5.239e-06 -2.176e-06 -1.572e-05 -1.200e-05  8.643e-07 -1.765e-06
 5.188e-08 -1.118e-05 -5.009e-06 -1.242e-05  5.935e-07 -1.343e-06
 1.822e-07 -1.400e-05  7.087e-06 -1.195e-05  3.209e-07 -8.965e-07
-5.346e-06 -8.095e-06  1.424e-05 -1.057e-05  3.523e-08 -5.585e-07
-1.102e-05  2.362e-06  1.326e-05 -8.302e-06 -2.732e-07 -3.783e-07
-1.043e-05  9.729e-06  6.761e-06 -5.218e-06 -6.001e-07 -2.896e-07
-3.059e-06  9.800e-06  1.378e-07 -1.448e-06 -9.389e-07 -1.711e-07
 5.171e-06  4.992e-06 -2.657e-06  2.764e-06 -1.258e-06  7.927e-08
 7.243e-06  2.535e-07 -6.250e-07  7.051e-06 -1.523e-06  5.148e-07
 8.313e-07 -2.376e-06  3.972e-06  1.096e-05 -1.732e-06  1.072e-06
-1.030e-05 -4.466e-06  6.813e-06  1.401e-05 -1.897e-06  1.585e-06
-1.923e-05 -7.367e-06  5.309e-06  1.577e-05 -2.023e-06  1.900e-06
-2.121e-05 -1.020e-05  1.143e-06  1.592e-05 -2.098e-06  1.995e-06
-1.776e-05 -1.176e-05 -1.876e-06  1.437e-05 -2.103e-06  1.978e-06
-1.437e-05 -1.192e-05 -2.287e-06  1.123e-05 -2.018e-06  1.970e-06
-1.367e-05 -1.144e-05 -1.308e-06  6.804e-06 -1.827e-06  2.022e-06
-1.353e-05 -1.059e-05  6.699e-07  1.498e-06 -1.528e-06  2.117e-06
-1.140e-05 -8.371e-06  4.061e-06 -4.221e-06 -1.131e-06  2.198e-06
-7.403e-06 -3.481e-06  7.584e-06 -9.797e-06 -6.613e-07  2.195e-06
-3.792e-06  3.762e-06  8.653e-06 -1.463e-05 -1.614e-07  2.073e-06
-2.068e-06  1.107e-05  6.399e-06 -1.816e-05  3.236e-07  1.854e-06
-1.193e-06  1.586e-05  2.688e-06 -1.998e-05  7.660e-07  1.602e-06
 9.135e-07  1.692e-05 -1.383e-08 -1.983e-05  1.151e-06  1.344e-06
 5.253e-06  1.517e-05 -2.824e-07 -1.763e-05  1.474e-06  1.030e-06
 9.988e-06  1.228e-05  2.094e-06 -1.352e-05  1.759e-06  5.908e-07
 1.194e-05  8.277e-06  6.188e-06 -7.949e-06  2.043e-06  4.277e-08
 1.012e-05  2.847e-06  9.992e-06 -1.603e-06  2.336e-06 -5.309e-07
 6.748e-06 -2.331e-06  1.143e-05  4.673e-06  2.602e-06 -1.067e-06
 4.988e-06 -4.559e-06  9.916e-06  1.001e-05  2.795e-06 -1.538e-06
 6.057e-06 -2.922e-06  7.063e-06  1.362e-05  2.870e-06 -1.909e-06
 9.201e-06  2.404e-07  5.662e-06  1.495e-05  2.811e-06 -2.173e-06
 1.340e-05  1.054e-06  7.862e-06  1.383e-05  2.657e-06 -2.401e-06
 1.767e-05 -1.743e-06  1.335e-05  1.058e-05  2.459e-06 -2.666e-06
 2.123e-05 -5.412e-06  1.933e-05  5.874e-06  2.224e-06 -2.960e-06
 2.332e-05 -6.517e-06  2.257e-05  5.954e-07  1.951e-06 -3.225e-06
 2.180e-05 -4.340e-06  2.124e-05 -4.339e-06  1.662e-06 -3.407e-06
 1.493e-05 -9.137e-07  1.574e-05 -8.058e-06  1.350e-06 -3.464e-06
 5.224e-06  9.660e-07  8.487e-06 -9.827e-06  9.717e-07 -3.366e-06
-1.012e-06 -4.562e-07  2.593e-06 -9.216e-06  5.141e-07 -3.090e-06
 8.485e-07 -4.314e-06 -6.175e-07 -6.273e-06  6.083e-09 -2.640e-06
 8.960e-06 -7.583e-06 -1.952e-06 -1.571e-06 -5.217e-07 -2.082e-06
 1.652e-05 -7.805e-06 -2.261e-06  3.957e-06 -1.039e-06 -1.509e-06
 1.813e-05 -4.820e-06 -2.329e-06  9.277e-06 -1.528e-06 -9.412e-07
