#depth variance  VR       nsta
  8  5.265e-09  4.278e+01   5
#mxx        mxy        mxz        myy        myz        mzz
 3.864e+21 -6.789e+21 -1.726e+21 -1.939e+21  1.812e+21 -1.925e+21
#st1 rk1 dp1 st2 rk2 dp2
192 165  86 282   4  76
#pdc pclvd piso
 46  54   0

#filename
BRLDA.data
#dt   npts  dist   Az   Zcor VR
1.000  120  46.0 212.0    5  4.443e+01
#data T          R          Z    synth T          R          Z
 1.031e-06  7.180e-06  1.228e-05 -2.168e-06 -1.042e-07  1.437e-06
 1.385e-05  7.261e-07  2.479e-05 -3.401e-06 -1.031e-08  1.681e-06
 2.367e-05  4.270e-06  3.051e-05 -3.126e-06 -1.629e-07  1.647e-06
 2.394e-05  1.278e-05  2.829e-05 -1.602e-06 -4.122e-06 -1.389e-06
 2.018e-05  1.908e-05  2.245e-05  3.786e-06 -2.013e-05 -9.032e-06
 3.145e-05  2.186e-05  1.707e-05  1.729e-05 -4.867e-05 -1.436e-05
 7.070e-05  2.953e-05  1.355e-05  3.800e-05 -7.713e-05 -8.741e-06
 1.386e-04  4.050e-05  9.242e-06  5.953e-05 -8.597e-05  1.168e-05
 2.043e-04  4.231e-05  1.889e-05  6.666e-05 -6.318e-05  4.455e-05
 1.275e-04  2.229e-05  4.866e-05  8.400e-06 -1.871e-05  7.437e-05
-1.904e-04 -1.103e-04  1.128e-04 -1.427e-04  2.693e-05  7.905e-05
-5.550e-04 -3.004e-04  1.384e-04 -3.085e-04  6.342e-05  5.020e-05
-8.906e-04 -3.182e-04  5.600e-05 -3.763e-04  9.711e-05 -5.855e-06
-6.191e-04 -3.451e-04 -7.468e-05 -2.627e-04  1.351e-04 -7.238e-05
 6.702e-05  6.913e-05 -1.061e-04  3.592e-05  1.634e-04 -1.179e-04
 1.067e-03  4.168e-04 -4.572e-05  3.683e-04  1.536e-04 -1.187e-04
 1.546e-03  8.950e-04  1.845e-05  5.335e-04  9.354e-05 -8.267e-05
 1.259e-03  7.300e-04 -8.473e-06  4.729e-04  6.166e-06 -3.291e-05
 9.624e-05  2.312e-04 -6.965e-05  2.861e-04 -7.239e-05  1.659e-05
-7.328e-04 -3.911e-04 -8.618e-05  8.113e-05 -1.245e-04  5.795e-05
-6.867e-04 -5.006e-04 -4.039e-05 -1.046e-04 -1.473e-04  8.161e-05
-3.288e-04 -2.356e-04 -2.927e-05 -2.460e-04 -1.408e-04  8.435e-05
-5.164e-04 -1.519e-04 -8.066e-05 -3.088e-04 -1.106e-04  7.018e-05
-7.370e-04 -3.339e-04 -8.793e-05 -2.907e-04 -6.730e-05  4.452e-05
-4.277e-04 -2.817e-04 -2.560e-06 -2.184e-04 -2.157e-05  1.515e-05
-2.377e-05 -2.153e-05  1.250e-05 -1.207e-04  1.681e-05 -1.035e-05
 1.276e-04  6.428e-05 -4.133e-05 -2.389e-05  4.237e-05 -2.767e-05
 1.547e-04  1.005e-04 -1.183e-06  5.072e-05  5.426e-05 -3.513e-05
 1.989e-04  1.240e-04  3.871e-05  9.282e-05  5.441e-05 -3.399e-05
 1.875e-04  6.130e-05 -2.293e-05  1.036e-04  4.679e-05 -2.728e-05
