#depth variance  VR       nsta
  8  4.818e-10  3.705e+01   4
#mxx        mxy        mxz        myy        myz        mzz
 1.356e+21 -5.250e+21 -1.039e+21 -7.134e+20  7.712e+20 -6.422e+20
#st1 rk1 dp1 st2 rk2 dp2
276   9  83 185 173  82
#pdc pclvd piso
 70  30   0

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  150 206.0 123.0   15  6.493e+01
#data T          R          Z    synth T          R          Z
-1.756e-05 -1.716e-06 -1.626e-05 -2.723e-07 -9.609e-07 -7.162e-07
-1.575e-05 -4.853e-06 -1.107e-05 -1.459e-07 -1.242e-06 -8.050e-07
-1.343e-05 -6.325e-06 -5.042e-06  1.945e-08 -1.452e-06 -8.647e-07
-1.272e-05 -5.710e-06  5.810e-07  2.188e-07 -1.581e-06 -8.931e-07
-1.366e-05 -4.408e-06  5.021e-06  4.449e-07 -1.628e-06 -8.924e-07
-1.411e-05 -3.453e-06  8.198e-06  6.890e-07 -1.606e-06 -8.705e-07
-1.175e-05 -2.397e-06  1.063e-05  9.417e-07 -1.543e-06 -8.418e-07
-6.477e-06 -3.303e-07  1.319e-05  1.194e-06 -1.488e-06 -8.262e-07
-8.568e-07  2.665e-06  1.633e-05  1.438e-06 -1.509e-06 -8.465e-07
 2.342e-06  5.505e-06  1.975e-05  1.672e-06 -1.688e-06 -9.231e-07
 3.102e-06  7.057e-06  2.304e-05  1.895e-06 -2.107e-06 -1.067e-06
 4.119e-06  6.651e-06  2.634e-05  2.112e-06 -2.827e-06 -1.269e-06
 7.600e-06  4.162e-06  2.983e-05  2.326e-06 -3.862e-06 -1.495e-06
 1.263e-05  8.312e-07  3.282e-05  2.542e-06 -5.152e-06 -1.675e-06
 1.632e-05 -7.460e-07  3.391e-05  2.754e-06 -6.546e-06 -1.704e-06
 1.699e-05  6.908e-07  3.235e-05  2.951e-06 -7.790e-06 -1.448e-06
 1.545e-05  3.204e-06  2.893e-05  3.103e-06 -8.543e-06 -7.632e-07
 1.361e-05  3.771e-06  2.563e-05  3.170e-06 -8.408e-06  4.754e-07
 1.244e-05  1.475e-06  2.410e-05  3.096e-06 -7.004e-06  2.332e-06
 1.126e-05 -1.790e-06  2.455e-05  2.822e-06 -4.051e-06  4.765e-06
 8.871e-06 -2.987e-06  2.601e-05  2.290e-06  5.064e-07  7.585e-06
 5.153e-06 -3.037e-07  2.729e-05  1.463e-06  6.389e-06  1.042e-05
 1.061e-06  5.650e-06  2.726e-05  3.406e-07  1.288e-05  1.274e-05
-2.817e-06  1.284e-05  2.472e-05 -1.029e-06  1.885e-05  1.394e-05
-7.055e-06  1.948e-05  1.890e-05 -2.542e-06  2.304e-05  1.359e-05
-1.234e-05  2.422e-05  9.689e-06 -4.049e-06  2.445e-05  1.159e-05
-1.758e-05  2.577e-05 -2.827e-06 -5.382e-06  2.242e-05  8.067e-06
-2.015e-05  2.350e-05 -1.602e-05 -6.387e-06  1.682e-05  3.487e-06
-1.823e-05  1.661e-05 -2.713e-05 -6.967e-06  8.355e-06 -1.312e-06
-1.248e-05  5.580e-06 -3.459e-05 -7.133e-06 -1.453e-06 -5.322e-06
-5.723e-06 -6.976e-06 -3.828e-05 -7.034e-06 -1.061e-05 -7.730e-06
-1.106e-06 -1.850e-05 -3.889e-05 -6.955e-06 -1.726e-05 -8.208e-06
-6.733e-07 -2.693e-05 -3.714e-05 -7.270e-06 -2.026e-05 -7.069e-06
-4.261e-06 -3.139e-05 -3.319e-05 -8.360e-06 -1.964e-05 -5.121e-06
-9.858e-06 -3.206e-05 -2.733e-05 -1.049e-05 -1.650e-05 -3.318e-06
-1.525e-05 -2.993e-05 -2.040e-05 -1.372e-05 -1.237e-05 -2.381e-06
-1.947e-05 -2.590e-05 -1.400e-05 -1.775e-05 -8.376e-06 -2.530e-06
-2.285e-05 -2.073e-05 -9.867e-06 -2.197e-05 -4.871e-06 -3.491e-06
-2.586e-05 -1.552e-05 -8.438e-06 -2.538e-05 -1.559e-06 -4.773e-06
-2.805e-05 -1.145e-05 -8.778e-06 -2.670e-05  1.880e-06 -5.995e-06
-2.695e-05 -8.647e-06 -9.457e-06 -2.452e-05  5.236e-06 -6.992e-06
-1.864e-05 -5.712e-06 -1.018e-05 -1.756e-05  7.732e-06 -7.705e-06
 8.453e-08 -8.535e-07 -1.155e-05 -4.955e-06  8.516e-06 -8.038e-06
 2.928e-05  6.067e-06 -1.374e-05  1.323e-05  7.234e-06 -7.887e-06
 6.561e-05  1.269e-05 -1.600e-05  3.561e-05  4.242e-06 -7.338e-06
 1.033e-04  1.575e-05 -1.746e-05  5.923e-05  4.468e-07 -6.889e-06
 1.349e-04  1.386e-05 -1.769e-05  7.981e-05 -2.991e-06 -7.386e-06
 1.528e-04  8.915e-06 -1.703e-05  9.281e-05 -5.068e-06 -9.415e-06
 1.507e-04  4.836e-06 -1.607e-05  9.476e-05 -5.417e-06 -1.242e-05
 1.272e-04  4.016e-06 -1.571e-05  8.376e-05 -4.379e-06 -1.466e-05
 8.688e-05  5.643e-06 -1.567e-05  5.945e-05 -2.450e-06 -1.454e-05
 2.968e-05  7.677e-06 -1.414e-05  2.383e-05  2.807e-07 -1.193e-05
-3.878e-05  9.630e-06 -1.034e-05 -1.771e-05  4.072e-06 -7.667e-06
-1.057e-04  1.019e-05 -3.476e-06 -5.729e-05  9.087e-06 -2.270e-06
-1.611e-04  1.269e-05  7.911e-06 -8.676e-05  1.499e-05  4.307e-06
-1.924e-04  2.230e-05  2.358e-05 -1.000e-04  2.066e-05  1.209e-05
-1.895e-04  3.643e-05  4.268e-05 -9.480e-05  2.445e-05  2.070e-05
-1.537e-04  4.953e-05  6.325e-05 -7.321e-05  2.476e-05  2.932e-05
-9.338e-05  5.663e-05  8.085e-05 -4.194e-05  2.051e-05  3.681e-05
-2.478e-05  5.299e-05  9.110e-05 -1.026e-05  1.146e-05  4.172e-05
 3.258e-05  3.805e-05  9.055e-05  1.331e-05 -1.448e-06  4.255e-05
 6.470e-05  1.270e-05  7.722e-05  2.417e-05 -1.602e-05  3.810e-05
 6.508e-05 -2.177e-05  5.163e-05  2.308e-05 -2.925e-05  2.802e-05
 4.148e-05 -6.034e-05  1.644e-05  1.529e-05 -3.803e-05  1.327e-05
 8.572e-06 -9.433e-05 -2.273e-05  7.474e-06 -4.006e-05 -3.769e-06
-1.627e-05 -1.123e-04 -5.764e-05  4.037e-06 -3.469e-05 -1.973e-05
-2.218e-05 -1.069e-04 -7.892e-05  5.051e-06 -2.333e-05 -3.111e-05
-1.049e-05 -7.874e-05 -8.081e-05  7.252e-06 -9.182e-06 -3.553e-05
 7.716e-06 -3.671e-05 -6.494e-05  7.297e-06  3.733e-06 -3.276e-05
 1.729e-05  6.646e-06 -3.984e-05  4.580e-06  1.213e-05 -2.503e-05
 1.170e-05  3.975e-05 -1.608e-05  1.349e-06  1.494e-05 -1.609e-05
-4.853e-06  5.461e-05  1.845e-07  2.460e-07  1.369e-05 -9.233e-06
-1.904e-05  5.128e-05  8.647e-06  1.727e-06  1.134e-05 -5.527e-06
-2.007e-05  3.624e-05  1.227e-05  3.857e-06  1.007e-05 -3.584e-06
-4.746e-06  2.101e-05  1.383e-05  4.516e-06  9.810e-06 -1.317e-06
 1.900e-05  1.340e-05  1.502e-05  3.543e-06  8.903e-06  1.824e-06
 3.789e-05  1.281e-05  1.612e-05  2.481e-06  6.391e-06  4.457e-06
 3.992e-05  1.120e-05  1.643e-05  2.466e-06  3.215e-06  5.163e-06
 2.374e-05  3.930e-06  1.435e-05  2.956e-06  9.958e-07  4.266e-06
 1.024e-06 -6.556e-06  9.159e-06  2.754e-06  1.286e-07  3.233e-06
-1.140e-05 -1.312e-05  2.799e-06  1.717e-06 -2.472e-07  2.768e-06
-6.023e-06 -1.322e-05 -1.526e-06  7.927e-07 -7.374e-07  2.424e-06
 1.103e-05 -9.292e-06 -3.191e-06  5.579e-07 -1.122e-06  1.842e-06
 2.484e-05 -4.883e-06 -3.836e-06  5.192e-07 -1.182e-06  1.297e-06
 2.600e-05 -1.100e-06 -4.274e-06  9.282e-08 -1.117e-06  9.887e-07
 1.593e-05  1.101e-06 -3.604e-06 -4.755e-07 -1.065e-06  7.529e-07
