#depth variance  VR       nsta
 30  7.311e-10  3.054e+01   4
#mxx        mxy        mxz        myy        myz        mzz
 4.377e+20 -7.541e+21  5.337e+20 -1.059e+21  1.984e+21 -1.632e+21
#st1 rk1 dp1 st2 rk2 dp2
  4 -165  84 272  -7  75
#pdc pclvd piso
 80  11   9

#filename
TD002.data
#dt   npts  dist   Az   Zcor VR
1.000  180 206.0 123.0   68  5.296e+01
#data T          R          Z    synth T          R          Z
 1.086e-05 -5.426e-06  2.255e-06  1.064e-07  2.090e-07 -1.395e-07
 5.503e-06 -2.248e-06  4.401e-06  1.112e-07  2.301e-07 -1.460e-07
-2.753e-06  1.267e-06  3.409e-06  1.162e-07  2.438e-07 -1.537e-07
-8.304e-06  6.209e-06 -7.880e-07  1.224e-07  2.481e-07 -1.642e-07
-6.284e-06  1.264e-05 -6.333e-06  1.290e-07  2.425e-07 -1.771e-07
 2.890e-06  1.906e-05 -1.088e-05  1.343e-07  2.277e-07 -1.886e-07
 1.355e-05  2.232e-05 -1.277e-05  1.363e-07  2.058e-07 -1.932e-07
 1.910e-05  1.961e-05 -1.157e-05  1.336e-07  1.793e-07 -1.871e-07
 1.680e-05  1.204e-05 -8.449e-06  1.255e-07  1.509e-07 -1.696e-07
 8.888e-06  4.939e-06 -5.852e-06  1.118e-07  1.213e-07 -1.431e-07
-6.798e-07  2.901e-06 -6.419e-06  9.276e-08  8.920e-08 -1.107e-07
-8.578e-06  5.749e-06 -1.109e-05  6.885e-08  5.075e-08 -7.438e-08
-1.236e-05  8.637e-06 -1.737e-05  4.036e-08  2.322e-09 -3.346e-08
-1.082e-05  6.190e-06 -2.014e-05  6.644e-09 -5.710e-08  1.410e-08
-5.239e-06 -2.176e-06 -1.572e-05 -3.380e-08 -1.246e-07  7.004e-08
 5.188e-08 -1.118e-05 -5.009e-06 -8.221e-08 -1.945e-07  1.338e-07
 1.822e-07 -1.400e-05  7.087e-06 -1.378e-07 -2.607e-07  2.017e-07
-5.346e-06 -8.095e-06  1.424e-05 -1.965e-07 -3.194e-07  2.679e-07
-1.102e-05  2.362e-06  1.326e-05 -2.516e-07 -3.700e-07  3.274e-07
-1.043e-05  9.729e-06  6.761e-06 -2.962e-07 -4.141e-07  3.784e-07
-3.059e-06  9.800e-06  1.378e-07 -3.254e-07 -4.540e-07  4.217e-07
 5.171e-06  4.992e-06 -2.657e-06 -3.388e-07 -4.915e-07  4.591e-07
 7.243e-06  2.535e-07 -6.250e-07 -3.402e-07 -5.266e-07  4.902e-07
 8.313e-07 -2.376e-06  3.972e-06 -3.356e-07 -5.573e-07  5.124e-07
-1.030e-05 -4.466e-06  6.813e-06 -3.304e-07 -5.809e-07  5.229e-07
-1.923e-05 -7.367e-06  5.309e-06 -3.267e-07 -5.948e-07  5.210e-07
-2.121e-05 -1.020e-05  1.143e-06 -3.237e-07 -5.970e-07  5.087e-07
-1.776e-05 -1.176e-05 -1.876e-06 -3.186e-07 -5.863e-07  4.894e-07
-1.437e-05 -1.192e-05 -2.287e-06 -3.085e-07 -5.609e-07  4.647e-07
-1.367e-05 -1.144e-05 -1.308e-06 -2.913e-07 -5.196e-07  4.334e-07
-1.353e-05 -1.059e-05  6.699e-07 -2.654e-07 -4.621e-07  3.923e-07
-1.140e-05 -8.371e-06  4.061e-06 -2.296e-07 -3.908e-07  3.377e-07
-7.403e-06 -3.481e-06  7.584e-06 -1.835e-07 -3.101e-07  2.677e-07
-3.792e-06  3.762e-06  8.653e-06 -1.274e-07 -2.248e-07  1.842e-07
-2.068e-06  1.107e-05  6.399e-06 -6.286e-08 -1.380e-07  9.220e-08
-1.193e-06  1.586e-05  2.688e-06  8.144e-09 -5.014e-08 -2.057e-09
 9.135e-07  1.692e-05 -1.383e-08  8.317e-08  4.075e-08 -9.395e-08
 5.253e-06  1.517e-05 -2.824e-07  1.589e-07  1.372e-07 -1.819e-07
 9.988e-06  1.228e-05  2.094e-06  2.310e-07  2.406e-07 -2.659e-07
 1.194e-05  8.277e-06  6.188e-06  2.944e-07  3.502e-07 -3.449e-07
 1.012e-05  2.847e-06  9.992e-06  3.451e-07  4.623e-07 -4.155e-07
 6.748e-06 -2.331e-06  1.143e-05  3.818e-07  5.711e-07 -4.746e-07
 4.988e-06 -4.559e-06  9.916e-06  4.068e-07  6.714e-07 -5.213e-07
 6.057e-06 -2.922e-06  7.063e-06  4.248e-07  7.600e-07 -5.575e-07
 9.201e-06  2.404e-07  5.662e-06  4.401e-07  8.370e-07 -5.862e-07
 1.340e-05  1.054e-06  7.862e-06  4.537e-07  9.046e-07 -6.086e-07
 1.767e-05 -1.743e-06  1.335e-05  4.619e-07  9.654e-07 -6.231e-07
 2.123e-05 -5.412e-06  1.933e-05  4.584e-07  1.021e-06 -6.268e-07
 2.332e-05 -6.517e-06  2.257e-05  4.381e-07  1.073e-06 -6.174e-07
 2.180e-05 -4.340e-06  2.124e-05  4.013e-07  1.116e-06 -5.955e-07
 1.493e-05 -9.137e-07  1.574e-05  3.557e-07  1.142e-06 -5.654e-07
 5.224e-06  9.660e-07  8.487e-06  3.148e-07  1.137e-06 -5.352e-07
-1.012e-06 -4.562e-07  2.593e-06  2.940e-07  1.085e-06 -5.137e-07
 8.485e-07 -4.314e-06 -6.175e-07  3.049e-07  9.736e-07 -5.050e-07
 8.960e-06 -7.583e-06 -1.952e-06  3.496e-07  8.049e-07 -5.040e-07
 1.652e-05 -7.805e-06 -2.261e-06  4.145e-07  6.032e-07 -4.962e-07
 1.813e-05 -4.820e-06 -2.329e-06  4.684e-07  4.151e-07 -4.630e-07
 1.319e-05 -2.348e-07 -3.680e-06  4.681e-07  2.960e-07 -3.904e-07
 3.758e-06  4.192e-06 -7.694e-06  3.743e-07  2.864e-07 -2.759e-07
-7.381e-06  6.935e-06 -1.472e-05  1.692e-07  3.906e-07 -1.308e-07
-1.673e-05  5.862e-06 -2.384e-05 -1.335e-07  5.721e-07  2.213e-08
-2.075e-05  8.659e-08 -3.289e-05 -4.883e-07  7.656e-07  1.543e-07
-1.765e-05 -6.917e-06 -3.928e-05 -8.298e-07  8.992e-07  2.392e-07
-8.826e-06 -8.988e-06 -4.089e-05 -1.092e-06  9.195e-07  2.610e-07
 4.998e-07 -3.486e-06 -3.695e-05 -1.226e-06  8.065e-07  2.199e-07
 3.873e-06  4.832e-06 -2.945e-05 -1.219e-06  5.771e-07  1.314e-07
-1.901e-06  7.626e-06 -2.246e-05 -1.092e-06  2.743e-07  1.814e-08
-1.388e-05  2.051e-06 -1.908e-05 -8.924e-07 -5.089e-08 -9.957e-08
-2.386e-05 -6.100e-06 -1.957e-05 -6.730e-07 -3.583e-07 -2.106e-07
-2.474e-05 -9.524e-06 -2.197e-05 -4.711e-07 -6.309e-07 -3.137e-07
-1.737e-05 -7.341e-06 -2.324e-05 -2.993e-07 -8.742e-07 -4.142e-07
-9.544e-06 -4.386e-06 -2.062e-05 -1.500e-07 -1.107e-06 -5.191e-07
-8.353e-06 -4.023e-06 -1.333e-05 -7.097e-09 -1.348e-06 -6.314e-07
-1.397e-05 -4.516e-06 -3.715e-06  1.440e-07 -1.607e-06 -7.473e-07
-1.952e-05 -2.349e-06  4.632e-06  3.103e-07 -1.876e-06 -8.541e-07
-1.736e-05  2.953e-06  9.543e-06  4.902e-07 -2.135e-06 -9.340e-07
-6.900e-06  8.629e-06  1.094e-05  6.769e-07 -2.352e-06 -9.688e-07
 3.941e-06  1.156e-05  1.050e-05  8.641e-07 -2.501e-06 -9.460e-07
 6.626e-06  9.796e-06  1.084e-05  1.050e-06 -2.576e-06 -8.657e-07
 1.453e-06  2.790e-06  1.327e-05  1.239e-06 -2.609e-06 -7.461e-07
-2.581e-06 -5.807e-06  1.681e-05  1.437e-06 -2.671e-06 -6.255e-07
 1.933e-06 -8.081e-06  2.043e-05  1.645e-06 -2.870e-06 -5.570e-07
 1.239e-05 -3.831e-07  2.499e-05  1.863e-06 -3.333e-06 -5.918e-07
 1.989e-05  1.064e-05  3.168e-05  2.081e-06 -4.174e-06 -7.537e-07
 1.934e-05  1.474e-05  3.865e-05  2.291e-06 -5.435e-06 -1.006e-06
 1.365e-05  8.221e-06  4.148e-05  2.486e-06 -7.025e-06 -1.222e-06
 9.115e-06 -3.702e-06  3.732e-05  2.660e-06 -8.647e-06 -1.170e-06
 8.846e-06 -1.200e-05  2.799e-05  2.806e-06 -9.757e-06 -5.336e-07
 1.063e-05 -1.110e-05  1.893e-05  2.904e-06 -9.596e-06  1.020e-06
 1.052e-05 -2.340e-06  1.484e-05  2.916e-06 -7.329e-06  3.713e-06
 7.849e-06  9.290e-06  1.634e-05  2.772e-06 -2.335e-06  7.486e-06
 5.204e-06  2.043e-05  2.114e-05  2.379e-06  5.369e-06  1.180e-05
 3.619e-06  2.925e-05  2.674e-05  1.644e-06  1.474e-05  1.561e-05
 2.791e-08  3.380e-05  3.124e-05  4.976e-07  2.385e-05  1.776e-05
-9.200e-06  3.324e-05  3.224e-05 -1.063e-06  3.061e-05  1.750e-05
-2.181e-05  2.477e-05  2.794e-05 -2.958e-06  3.304e-05  1.438e-05
-3.009e-05  8.315e-06  1.756e-05 -4.998e-06  2.944e-05  8.354e-06
-2.800e-05 -1.040e-05 -1.839e-07 -6.905e-06  1.937e-05  4.313e-07
-1.643e-05 -2.625e-05 -1.924e-05 -8.389e-06  4.644e-06 -7.317e-06
-2.387e-06 -3.552e-05 -3.355e-05 -9.241e-06 -1.101e-05 -1.264e-05
 6.434e-06 -3.755e-05 -4.057e-05 -9.399e-06 -2.320e-05 -1.402e-05
 5.702e-06 -3.382e-05 -4.171e-05 -8.979e-06 -2.851e-05 -1.139e-05
-2.569e-06 -2.737e-05 -3.999e-05 -8.250e-06 -2.614e-05 -6.282e-06
-1.156e-05 -2.008e-05 -3.730e-05 -7.580e-06 -1.853e-05 -1.096e-06
-1.509e-05 -1.290e-05 -3.292e-05 -7.353e-06 -1.002e-05  1.964e-06
-1.232e-05 -7.977e-06 -2.583e-05 -7.911e-06 -4.287e-06  1.877e-06
-7.779e-06 -7.834e-06 -1.646e-05 -9.512e-06 -2.401e-06 -7.808e-07
-7.550e-06 -1.199e-05 -8.005e-06 -1.227e-05 -2.554e-06 -4.458e-06
-1.517e-05 -1.519e-05 -4.438e-06 -1.606e-05 -1.763e-06 -7.763e-06
-2.744e-05 -1.088e-05 -6.353e-06 -2.028e-05  1.686e-06 -1.015e-05
-3.494e-05  2.286e-06 -1.057e-05 -2.368e-05  6.890e-06 -1.167e-05
-2.772e-05  1.759e-05 -1.291e-05 -2.425e-05  1.115e-05 -1.225e-05
-2.009e-06  2.506e-05 -1.323e-05 -1.947e-05  1.206e-05 -1.136e-05
 3.923e-05  2.031e-05 -1.428e-05 -7.041e-06  9.043e-06 -8.499e-06
 8.872e-05  8.664e-06 -1.743e-05  1.392e-05  3.441e-06 -4.355e-06
 1.362e-04  1.254e-06 -2.076e-05  4.182e-05 -2.243e-06 -1.459e-06
 1.693e-04  3.815e-06 -2.168e-05  7.238e-05 -5.448e-06 -2.935e-06
 1.775e-04  1.157e-05 -1.884e-05  9.956e-05 -5.139e-06 -9.225e-06
 1.592e-04  1.592e-05 -1.341e-05  1.162e-04 -2.741e-06 -1.610e-05
 1.257e-04  1.374e-05 -7.637e-06  1.142e-04 -8.718e-07 -1.792e-05
 6.482e-05  3.127e-07 -5.366e-06  8.767e-05 -8.843e-07 -1.339e-05
-2.283e-05 -1.260e-05 -7.202e-06  3.823e-05 -1.869e-06 -6.167e-06
-1.171e-04 -5.432e-06 -9.365e-06 -2.356e-05 -1.579e-06  5.057e-08
-2.055e-04  1.850e-05 -1.151e-05 -8.257e-05  2.077e-06  4.566e-06
-2.628e-04  4.752e-05 -1.249e-05 -1.243e-04  9.414e-06  8.534e-06
-2.615e-04  7.182e-05 -7.730e-06 -1.379e-04  1.846e-05  1.309e-05
-2.014e-04  8.056e-05  3.995e-06 -1.191e-04  2.624e-05  1.891e-05
-9.484e-05  7.274e-05  2.417e-05 -7.316e-05  2.980e-05  2.620e-05
 2.598e-05  4.745e-05  5.262e-05 -1.512e-05  2.666e-05  3.441e-05
 1.189e-04  4.222e-07  8.221e-05  3.479e-05  1.568e-05  4.177e-05
 1.550e-04 -6.372e-05  1.054e-04  5.991e-05 -1.949e-06  4.540e-05
 1.209e-04 -1.289e-04  1.156e-04  5.450e-05 -2.266e-05  4.207e-05
 4.031e-05 -1.676e-04  1.070e-04  2.672e-05 -4.119e-05  2.982e-05
-4.815e-05 -1.610e-04  7.782e-05 -5.403e-06 -5.187e-05  9.428e-06
-1.001e-04 -1.078e-04  2.877e-05 -2.402e-05 -5.059e-05 -1.501e-05
-9.087e-05 -2.876e-05 -3.244e-05 -2.179e-05 -3.670e-05 -3.666e-05
-3.142e-05  4.798e-05 -9.000e-05 -5.380e-06 -1.403e-05 -4.824e-05
 4.043e-05  9.746e-05 -1.224e-04  1.071e-05  9.571e-06 -4.557e-05
 7.686e-05  1.034e-04 -1.156e-04  1.564e-05  2.518e-05 -3.054e-05
 5.865e-05  7.059e-05 -7.400e-05  9.558e-06  2.746e-05 -1.114e-05
 7.796e-07  1.943e-05 -2.018e-05  1.342e-06  1.823e-05  2.588e-06
-5.331e-05 -1.729e-05  1.951e-05 -7.577e-07  5.871e-06  5.063e-06
-6.827e-05 -2.044e-05  3.332e-05  3.512e-06 -5.254e-07 -8.054e-07
-3.230e-05  2.247e-06  2.683e-05  7.734e-06  1.762e-06 -6.372e-06
 3.173e-05  2.031e-05  1.351e-05  6.751e-06  7.379e-06 -5.319e-06
 8.407e-05  1.591e-05  3.599e-06  2.125e-06  9.080e-06  6.422e-07
 8.794e-05 -4.467e-06  1.764e-06 -7.282e-07  5.430e-06  4.920e-06
 3.885e-05 -1.826e-05  6.992e-06  4.920e-07  1.126e-06  4.300e-06
-2.783e-05 -1.678e-05  1.471e-05  2.768e-06  9.063e-08  1.833e-06
-6.113e-05 -6.901e-06  1.754e-05  2.535e-06  1.104e-06  1.340e-06
-3.954e-05  1.494e-06  1.122e-05  3.763e-07  1.181e-06  2.423e-06
 1.598e-05  6.413e-06  4.746e-07 -6.212e-07  9.609e-08  2.756e-06
 5.773e-05  6.205e-06 -5.495e-06  3.027e-07 -6.604e-07  2.169e-06
 5.657e-05  2.530e-06 -5.232e-06  9.628e-07 -8.808e-07  1.794e-06
 1.844e-05 -1.938e-06 -4.035e-06  1.000e-07 -1.158e-06  1.591e-06
-1.825e-05 -6.755e-07 -4.033e-06 -8.695e-07 -1.333e-06  1.105e-06
-2.073e-05  2.641e-06 -1.562e-06 -6.445e-07 -1.192e-06  7.043e-07
 1.463e-05  4.150e-06  3.918e-06 -1.076e-07 -1.095e-06  5.889e-07
 5.440e-05  5.310e-06  4.822e-06 -3.681e-07 -1.110e-06  3.879e-07
 6.041e-05  1.109e-05 -3.919e-06 -8.334e-07 -9.638e-07  1.281e-07
 2.514e-05  1.735e-05 -1.497e-05 -6.651e-07 -7.681e-07  5.498e-08
-1.576e-05  1.288e-05 -1.819e-05 -3.414e-07 -6.876e-07  3.008e-09
-2.665e-05  2.243e-08 -1.192e-05 -4.463e-07 -5.695e-07 -1.064e-07
-5.349e-06 -5.999e-06 -2.844e-06 -5.578e-07 -4.052e-07 -1.111e-07
 1.964e-05 -1.605e-06  1.684e-06 -3.331e-07 -3.148e-07 -8.901e-08
 1.819e-05  4.542e-06 -1.229e-06 -1.431e-07 -2.245e-07 -1.240e-07
-1.170e-05  1.012e-05 -8.447e-06 -1.287e-07 -1.061e-07 -1.067e-07
-4.273e-05  1.817e-05 -1.228e-05 -2.237e-08 -3.212e-08 -7.078e-08
-4.341e-05  2.401e-05 -9.991e-06  1.452e-07  4.037e-08 -7.596e-08
-1.538e-05  1.979e-05 -6.039e-06  1.994e-07  1.252e-07 -4.987e-08
 1.002e-05  1.031e-05 -4.617e-06  2.122e-07  1.717e-07 -1.960e-08
 8.218e-06  3.883e-08 -1.667e-06  2.392e-07  2.108e-07 -2.306e-08
-1.564e-05 -4.392e-06  2.943e-06  2.203e-07  2.499e-07 -7.444e-09
-3.372e-05  1.519e-06  8.471e-07  1.666e-07  2.643e-07  5.102e-09
-2.624e-05  6.749e-06 -5.100e-06  1.131e-07  2.831e-07 -2.556e-09
-4.737e-06 -1.604e-06 -8.187e-06  5.044e-08  3.017e-07  1.955e-09
 1.737e-06 -1.762e-05 -7.772e-06 -2.100e-08  3.025e-07 -5.473e-09
-1.565e-05 -3.111e-05 -4.167e-06 -9.120e-08  3.015e-07 -2.148e-08
-3.366e-05 -3.650e-05  4.649e-07 -1.613e-07  2.853e-07 -2.019e-08
-2.649e-05 -2.995e-05  1.852e-06 -2.329e-07  2.492e-07 -1.772e-08

#filename
TD009.data
#dt   npts  dist   Az   Zcor VR
1.000  180 241.0 169.0   91  3.038e+01
#data T          R          Z    synth T          R          Z
-1.209e-05 -2.753e-05 -8.587e-06  3.312e-07 -1.262e-07  2.273e-07
-1.482e-05 -4.027e-05 -6.023e-06  3.682e-07 -1.356e-07  2.358e-07
-1.166e-05 -5.354e-05 -8.094e-06  3.979e-07 -1.421e-07  2.353e-07
-2.874e-06 -6.620e-05 -1.265e-05  4.146e-07 -1.455e-07  2.268e-07
 7.493e-06 -7.721e-05 -1.577e-05  4.119e-07 -1.458e-07  2.121e-07
 1.357e-05 -8.451e-05 -1.556e-05  3.855e-07 -1.430e-07  1.928e-07
 1.192e-05 -8.633e-05 -1.291e-05  3.366e-07 -1.367e-07  1.699e-07
 4.384e-06 -8.302e-05 -9.783e-06  2.717e-07 -1.259e-07  1.436e-07
-3.549e-06 -7.693e-05 -7.660e-06  2.003e-07 -1.100e-07  1.146e-07
-6.910e-06 -7.039e-05 -7.066e-06  1.306e-07 -8.874e-08  8.350e-08
-4.638e-06 -6.461e-05 -7.762e-06  6.746e-08 -6.366e-08  5.071e-08
 5.719e-07 -5.978e-05 -8.760e-06  1.106e-08 -3.707e-08  1.574e-08
 4.829e-06 -5.554e-05 -8.510e-06 -4.192e-08 -1.126e-08 -2.217e-08
 5.846e-06 -5.074e-05 -5.579e-06 -9.722e-08  1.247e-08 -6.302e-08
 4.173e-06 -4.317e-05  2.854e-07 -1.610e-07  3.412e-08 -1.055e-07
 2.095e-06 -3.036e-05  7.443e-06 -2.371e-07  5.452e-08 -1.475e-07
 1.631e-06 -1.208e-05  1.285e-05 -3.252e-07  7.477e-08 -1.871e-07
 3.247e-06  7.304e-06  1.390e-05 -4.199e-07  9.584e-08 -2.233e-07
 5.858e-06  2.107e-05  1.042e-05 -5.128e-07  1.182e-07 -2.553e-07
 7.941e-06  2.610e-05  4.923e-06 -5.958e-07  1.417e-07 -2.827e-07
 8.901e-06  2.625e-05  1.027e-06 -6.642e-07  1.654e-07 -3.045e-07
